Chinese,Pinyin,English
其实,qíshí,actually; in fact; really
不仅如此,bù jǐn rú cǐ,not only that; moreover; besides that
顺便问一下,shùnbiàn wèn yíxià,by the way; incidentally
难怪,nánguài,no wonder; it's no surprise
原来如此,yuánlái rúcǐ,so that's how it is; I see; that explains it
差不多,chàbuduō,almost / roughly
越来越,yuè lái yuè,more and more
无所谓,wúsuǒwèi,it doesn't matter
好不容易,hǎo bù róngyì,with great difficulty
一方面…另一方面…,yì fāngmiàn… lìng yì fāngmiàn…,on one hand… on the other hand…
看来,kànlái,it seems
据说,jùshuō,it is said
既然,jìrán,since / now that
否则,fǒuzé,otherwise
到底,dàodǐ,after all / in the end
几乎,jīhū,almost
稍微,shāowēi,slightly
尽管,jǐnguǎn,even though
毕竟,bìjìng,after all
难免,nánmiǎn,hard to avoid
你最近忙什么呢？,nǐ zuìjìn máng shénme ne?,what have you been busy with lately?
这件事不太容易解释。,zhè jiàn shì bú tài róngyì jiěshì,this matter is not easy to explain
我差点忘了。,wǒ chàdiǎn wàng le,I almost forgot; i almost forgot
我早就告诉过你。,wǒ zǎo jiù gàosu guò nǐ,I told you long ago; i told you long ago
事情变得越来越复杂。,shìqing biàn de yuè lái yuè fùzá,things are becoming more complicated
他看起来很有经验。,tā kàn qǐlái hěn yǒu jīngyàn,he looks very experienced
我对这个问题很好奇。,wǒ duì zhège wèntí hěn hàoqí,I'm curious about this question; i'm curious about this question
你有没有别的建议？,nǐ yǒu méiyǒu bié de jiànyì?,do you have any other suggestions?
这取决于情况。,zhè qǔjué yú qíngkuàng,that depends on the situation
我需要考虑一下。,wǒ xūyào kǎolǜ yíxià,I need to think about it; i need to think about it
这听起来很合理。,zhè tīng qǐlái hěn hélǐ,that sounds reasonable
你怎么会这么想？,nǐ zěnme huì zhème xiǎng?,how could you think that?
我完全同意。,wǒ wánquán tóngyì,I completely agree; i completely agree
我不太确定。,wǒ bú tài quèdìng,I'm not very sure; i'm not very sure
其实没那么严重。,qíshí méi nàme yánzhòng,actually it's not that serious
你说得有道理。,nǐ shuō de yǒu dàolǐ,you make a good point
让我想想。,ràng wǒ xiǎng xiang,let me think
你能解释一下吗？,nǐ néng jiěshì yíxià ma?,can you explain it?
事情没有那么简单。,shìqing méi yǒu nàme jiǎndān,things aren't that simple
这让我很惊讶。,zhè ràng wǒ hěn jīngyà,this surprises me
我已经习惯了。,wǒ yǐjīng xíguàn le,I'm already used to it; i'm already used to it
你打算什么时候去？,nǐ dǎsuàn shénme shíhou qù?,when do you plan to go?
我突然想起来一件事。,wǒ tūrán xiǎng qǐlái yí jiàn shì,I suddenly remembered something; i suddenly remembered something
事情进展得怎么样？,shìqing jìnzhǎn de zěnmeyàng?,how are things progressing?
我对这个结果很满意。,wǒ duì zhège jiéguǒ hěn mǎnyì,I'm satisfied with this result; i'm satisfied with this result
他好像不太高兴。,tā hǎoxiàng bú tài gāoxìng,he doesn't seem very happy
这可能是个误会。,zhè kěnéng shì gè wùhuì,this might be a misunderstanding
你怎么看这个问题？,nǐ zěnme kàn zhège wèntí?,what do you think about this issue?
我完全没想到。,wǒ wánquán méi xiǎngdào,I didn't expect it at all; i didn't expect it at all
这件事很值得讨论。,zhè jiàn shì hěn zhídé tǎolùn,this matter is worth discussing
时间过得真快。,shíjiān guò de zhēn kuài,time passes quickly
他终于明白了。,tā zhōngyú míngbai le,he finally understood
我需要一点时间。,wǒ xūyào yìdiǎn shíjiān,I need a little time; i need a little time
你是不是误会了？,nǐ shì bú shì wùhuì le?,did you misunderstand?
情况比我想象的复杂。,qíngkuàng bǐ wǒ xiǎngxiàng de fùzá,the situation is more complicated than I imagined; the situation is more complicated than i imagined
我一直在找这个。,wǒ yìzhí zài zhǎo zhège,I've been looking for this; i've been looking for this
这对我来说很重要。,zhè duì wǒ lái shuō hěn zhòngyào,this is important to me
我有点担心。,wǒ yǒudiǎn dānxīn,I'm a bit worried; i'm a bit worried
他似乎很忙。,tā sìhū hěn máng,he seems very busy
这让我想到一个问题。,zhè ràng wǒ xiǎngdào yí gè wèntí,this makes me think of a question
事情没有按计划进行。,shìqing méi yǒu àn jìhuà jìnxíng,things didn't go according to plan
你最好早点出发。,nǐ zuì hǎo zǎodiǎn chūfā,you'd better leave earlier
这听起来不太现实。,zhè tīng qǐlái bú tài xiànshí,that sounds unrealistic
我渐渐明白了。,wǒ jiànjiàn míngbai le,I gradually understood; i gradually understood
结果完全出乎意料。,jiéguǒ wánquán chūhū yìliào,the result was completely unexpected
我正在考虑换工作。,wǒ zhèngzài kǎolǜ huàn gōngzuò,I'm considering changing jobs; i'm considering changing jobs
这件事影响很大。,zhè jiàn shì yǐngxiǎng hěn dà,this matter has a big impact
事情终于解决了。,shìqing zhōngyú jiějué le,the problem was finally solved
我有点不太明白。,wǒ yǒudiǎn bú tài míngbai,I don't quite understand; i don't quite understand
这让我想起以前的经历。,zhè ràng wǒ xiǎng qǐ yǐqián de jīnglì,this reminds me of past experiences
他突然改变了主意。,tā tūrán gǎibiàn le zhǔyi,he suddenly changed his mind
事情变得越来越困难。,shìqing biàn de yuè lái yuè kùnnan,things are becoming more difficult
我需要更多信息。,wǒ xūyào gèng duō xìnxī,I need more information; i need more information
这个问题值得思考。,zhège wèntí zhídé sīkǎo,this question is worth thinking about
你可以再说一遍吗？,nǐ kěyǐ zài shuō yí biàn ma?,can you say it again?
这不是重点。,zhè bú shì zhòngdiǎn,that's not the main point
重点是我们怎么解决。,zhòngdiǎn shì wǒmen zěnme jiějué,the key is how we solve it
这让我很困惑。,zhè ràng wǒ hěn kùnhuò,this confuses me
事情正在慢慢好转。,shìqing zhèngzài mànman hǎozhuǎn,things are gradually improving
他一直在努力。,tā yìzhí zài nǔlì,he has been working hard
我不太习惯这种方式。,wǒ bú tài xíguàn zhè zhǒng fāngshì,I'm not used to this approach; i'm not used to this approach
这听起来有点奇怪。,zhè tīng qǐlái yǒudiǎn qíguài,that sounds a bit strange
事情比想象中容易。,shìqing bǐ xiǎngxiàng zhōng róngyì,things are easier than expected
我完全理解你的意思。,wǒ wánquán lǐjiě nǐ de yìsi,I completely understand what you mean; i completely understand what you mean
你觉得怎么样？,nǐ juéde zěnmeyàng?,what do you think?
我需要更多时间练习。,wǒ xūyào gèng duō shíjiān liànxí,I need more time to practice; i need more time to practice
他很擅长解释问题。,tā hěn shàncháng jiěshì wèntí,he is good at explaining problems
这让我学到了很多。,zhè ràng wǒ xué dào le hěn duō,this taught me a lot
我希望事情会变好。,wǒ xīwàng shìqing huì biàn hǎo,I hope things will get better; i hope things will get better
这个想法很有意思。,zhège xiǎngfǎ hěn yǒu yìsi,this idea is interesting
事情没有那么糟糕。,shìqing méi yǒu nàme zāogāo,things aren't that bad
我需要一点帮助。,wǒ xūyào yìdiǎn bāngzhù,I need a little help; i need a little help
这件事让我很困扰。,zhè jiàn shì ràng wǒ hěn kùnrǎo,this troubles me
他好像知道答案。,tā hǎoxiàng zhīdào dá'àn,he seems to know the answer
我不太同意这个观点。,wǒ bú tài tóngyì zhège guāndiǎn,I don't quite agree with this view; i don't quite agree with this view
这件事值得注意。,zhè jiàn shì zhídé zhùyì,this matter deserves attention
事情的发展很有意思。,shìqing de fāzhǎn hěn yǒu yìsi,the development of events is interesting
我慢慢开始理解。,wǒ mànman kāishǐ lǐjiě,I'm gradually starting to understand; i'm gradually starting to understand
他好像有点紧张。,tā hǎoxiàng yǒudiǎn jǐnzhāng,he seems a bit nervous
这确实是个挑战。,zhè quèshí shì gè tiǎozhàn,this is indeed a challenge
